n,ops-best,ops-average,ops-worst,Best Lin,Avg Lin,Worst Lin,Best Qua,Avg Qua,Worst Qua,Best log,Avg LOG,Worst log
69,69,3735,4760,1,0.018473896,0.014495798,0.014492754,0.784499055,0.99978996,37.52347071,19.31533786,18.76220077
70,70,3678,4860,1,0.019032083,0.014403292,0.014285714,0.750612245,0.991836735,37.93836343,19.63197493,18.98749833
71,71,3652,5038,1,0.019441402,0.014092894,0.014084507,0.724459433,0.99940488,38.35229159,19.92965243,19.17748489
72,72,3982,5114,1,0.018081366,0.014078999,0.013888889,0.768132716,0.986496914,38.76527231,19.99943748,19.41349291
73,73,3969,5301,1,0.018392542,0.013770987,0.01369863,0.744792644,0.994745731,39.17732217,20.2852095,19.60069463
74,74,3999,5475,1,0.018504626,0.013515982,0.013513514,0.730277575,0.999817385,39.58845724,20.54441932,19.79464858
75,75,4230,5624,1,0.017730496,0.013335704,0.013333333,0.752,0.999822222,39.99869309,20.68200787,19.99975834
76,76,4287,5775,1,0.017728015,0.013160173,0.013157895,0.742209141,0.99982687,40.40804485,20.9242259,20.20442632
77,77,4406,5928,1,0.017476169,0.012989204,0.012987013,0.743127003,0.999831337,40.8165272,21.13036769,20.40865985
78,78,4605,6038,1,0.016938111,0.012918185,0.012820513,0.756903353,0.992439185,41.22415438,21.29268645,20.63004633
79,79,4902,6179,1,0.016115871,0.01278524,0.012658228,0.78545105,0.990065695,41.63094022,21.4070484,20.83927849
80,80,4970,6399,1,0.016096579,0.012501953,0.0125,0.7765625,0.99984375,42.03689817,21.64293471,21.01882385
81,81,4814,6518,1,0.016825924,0.012427125,0.012345679,0.733729614,0.993446121,42.4420413,21.99589033,21.23690913
82,82,5314,6723,1,0.015430937,0.012196936,0.012195122,0.790303391,0.999851279,42.84638232,22.01093189,21.42355269
83,83,5027,6767,1,0.016510841,0.012265406,0.012048193,0.729714037,0.982290608,43.24993356,22.4244997,21.66877685
84,84,5419,7032,1,0.015501015,0.011945392,0.011904762,0.767998866,0.996598639,43.65270707,22.49646996,21.83474865
85,85,5447,7141,1,0.01560492,0.011903095,0.011764706,0.753910035,0.988373702,44.05471454,22.75064765,22.05638683
86,86,5781,7316,1,0.014876319,0.011755057,0.011627907,0.781638724,0.989183342,44.45596736,22.86016271,22.25515239
87,87,5569,7515,1,0.015622194,0.011576846,0.011494253,0.735764302,0.992865636,44.85647662,23.2261544,22.44623169
88,88,5701,7735,1,0.015435888,0.011376858,0.011363636,0.736182851,0.99883781,45.25625312,23.42948538,22.63106546
89,89,5983,7920,1,0.014875481,0.011237374,0.011235955,0.755333922,0.999873753,45.6553074,23.5641802,22.82797475
90,90,6320,8099,1,0.014240506,0.011112483,0.011111111,0.780246914,0.999876543,46.05364972,23.67974205,23.02714077
91,91,6174,8165,1,0.014739229,0.011145132,0.010989011,0.74556213,0.98599203,46.45129008,24.00696492,23.26201921
92,92,6402,8397,1,0.014370509,0.010956294,0.010869565,0.756379962,0.992084121,46.84823825,24.17035474,23.44472203
93,93,6451,8545,1,0.01441637,0.010883558,0.010752688,0.745866574,0.987975488,47.24450373,24.41183848,23.65381758
94,94,6665,8823,1,0.014103526,0.010653973,0.010638298,0.754300589,0.998528746,47.64009581,24.58287468,23.82390819
95,95,7000,9024,1,0.013571429,0.010527482,0.010526316,0.775623269,0.999889197,48.03502357,24.70678225,24.017804
96,96,96,9200,1,1,0.010434783,0.010416667,0.010416667,0.998263889,48.42929585,48.42929585,24.21925799
97,97,6807,9320,1,0.014250037,0.010407725,0.010309278,0.723456265,0.990540971,48.82292129,25.30684055,24.43684465
98,98,7022,9603,1,0.013956138,0.010205144,0.010204082,0.731153686,0.999895877,49.21590833,25.47796649,24.6082336
99,99,7194,9713,1,0.013761468,0.010192525,0.01010101,0.734006734,0.991021324,49.60826521,25.66781408,24.82849909
